年月,四川攀枝花,重庆朱沱,湖北宜昌,湖南岳阳,江西九江,安徽安庆,江苏南京
2004-04,3.7,2.1,0.9,0.9,1,1.1,1.2
2004-05,3.7,1.9,0.8,0.9,1.1,1.1,1.2
2004-06,3.9,2.1,1.2,1.3,1.5,1.5,1.6
2004-07,4.1,2.3,1.4,1.5,1.5,1.6,1.7
2004-08,3.8,2.1,1.4,1.4,1.5,1.7,1.7
2004-09,5.1,4.8,1.7,1.9,2.1,3.4,3.4
2004-10,3.1,2.3,1.5,1.6,1.6,1.7,1.9
2004-11,2.7,1.9,0.7,0.8,0.9,0.9,1
2004-12,3.1,1.5,0.7,0.8,0.8,0.8,0.9
2005-01,2.1,1.5,0.5,0.6,0.7,0.7,0.8
2005-02,2,1,0.4,0.6,0.7,0.7,0.8
2005-03,1.9,0.9,0.4,0.6,0.8,0.8,0.9
2005-04,2.1,1.2,0.4,0.5,0.7,0.8,0.8
